"","10A-16S","10B-16S","10C-16S","10D-16S","10E-16S","16A-16S","16B-16S","16C-16S","16D-16S","16E-16S","1A-16S","1B-16S","1C-16S","1D-16S","1E-16S","2A-16S","2B-16S","2C-16S","2D-16S","2E-16S","3A-16S","3B-16S","3C-16S","3D-16S","3E-16S","4A-16S","4B-16S","4C-16S","4D-16S","4E-16S","5A-16S","5B-16S","5C-16S","5D-16S","5E-16S","6A-16S","6B-16S","6C-16S","6D-16S","6E-16S","8A-16S","8B-16S","8C-16S","8D-16S","8E-16S","D0-16S"
"OTU_4739",2,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2,0,0,0,0,3,0,1,2,1,2,0,3,1,0,0,0,1,4
"OTU_495",13,22,1,13,4,15,2,5,4,2,0,0,2,0,2,19,0,3,20,4,15,11,6,26,1,26,17,2,36,1,18,3,5,29,0,32,10,0,33,0,27,7,7,30,4,0
"OTU_2",1675,1093,1030,1697,1291,1480,1171,812,332,1922,10,94,4,15,485,59,113,1,76,263,261,145,501,352,668,742,467,740,392,418,1369,1597,1360,2574,390,1286,1413,803,1913,968,1493,449,2039,4574,2453,0
"OTU_64",211,107,157,71,134,347,143,70,93,96,0,0,0,0,0,4,9,0,0,2,3,5,5,2,6,3,10,34,3,1,4,23,94,9,29,30,65,172,43,78,120,38,231,160,195,18
"OTU_30",89,48,55,97,111,49,48,46,3,91,2,341,39,26,736,50,111,2,30,110,116,60,374,78,557,140,187,255,123,157,196,218,118,310,159,164,287,198,329,188,93,34,256,262,365,1
"OTU_10",1311,1133,979,442,1070,772,741,777,315,1596,21,12,35,38,25,125,332,41,182,378,535,745,598,663,389,456,908,945,456,140,1217,1508,1816,1451,466,643,1069,1561,900,1033,809,414,1442,1145,1390,23
"OTU_743",21,42,6,17,6,10,2,1,1,8,0,1,0,0,1,6,4,1,0,1,7,12,4,10,2,11,5,3,14,1,9,4,14,17,0,43,12,4,35,0,21,9,10,31,9,18
"OTU_94",153,78,91,24,332,31,28,12,9,47,0,0,0,0,0,0,2,0,0,5,14,4,5,0,134,0,9,34,2,0,3,65,58,19,164,0,28,137,2,262,15,16,158,62,358,15
"OTU_129",130,38,110,73,193,68,57,59,14,169,1,1,0,0,0,1,1,0,0,3,3,7,6,10,21,14,21,15,13,1,28,48,70,41,16,45,82,80,112,81,51,21,169,159,281,1
"OTU_130",35,3,18,33,17,9,23,6,0,19,18,32,9,35,5,31,25,0,16,80,103,33,101,49,98,43,37,159,56,73,96,175,156,134,42,51,52,31,73,52,60,13,52,83,25,0
"OTU_75",31,129,35,105,68,36,41,10,8,35,28,20,6,27,14,57,28,18,17,57,70,81,33,40,497,213,353,95,285,9,243,80,280,227,101,73,111,60,222,223,111,64,74,255,662,31
"OTU_68",186,201,79,92,113,136,140,81,64,183,3,22,9,19,22,11,43,3,11,40,86,130,73,116,85,58,87,62,38,32,92,135,285,153,85,54,71,123,41,109,66,48,85,205,86,0
"OTU_4597",4,6,2,2,2,4,1,1,0,1,1,1,0,0,0,3,5,4,8,1,4,6,1,5,0,9,11,0,13,1,5,2,10,10,0,12,4,0,13,4,4,3,3,8,4,5
"OTU_31",150,102,133,95,178,56,90,71,20,189,1,4,1,1,42,25,21,4,47,90,111,82,168,117,230,148,142,196,130,98,304,413,354,352,75,145,129,288,244,135,95,45,207,259,257,0
"OTU_42",372,65,108,151,183,74,121,97,17,308,0,0,0,1,28,11,5,6,19,68,29,29,167,60,565,114,93,203,101,125,173,461,212,270,298,452,280,350,827,481,378,52,458,465,501,1
"OTU_3617",27,21,93,5,77,20,49,80,10,197,0,0,0,0,7,2,1,0,2,5,2,2,1,1,39,0,4,7,3,8,3,25,30,8,34,1,8,36,14,72,6,6,21,17,64,20
"OTU_186",89,206,62,24,46,48,27,42,16,35,31,42,9,9,12,64,180,43,62,49,88,216,77,70,11,49,96,79,94,19,49,123,123,55,11,123,92,98,111,39,81,40,67,93,62,550
"OTU_774",6,21,4,3,4,5,3,0,3,2,0,2,0,1,0,3,4,0,5,0,5,14,0,2,0,6,8,6,14,3,3,5,13,7,1,5,6,8,6,4,6,4,1,8,7,28
"OTU_72",236,278,34,116,172,93,109,24,41,102,13,15,1,6,2,71,27,37,93,38,57,150,39,193,4,260,123,77,247,6,125,77,97,237,0,266,84,45,440,7,187,84,83,265,81,0
"OTU_535",5,15,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,6,0,5,0,15,5,0,12,0,6,2,5,6,0,29,4,0,31,1,13,8,1,17,2,0
"OTU_1878",2,0,9,0,6,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
"OTU_4631",128,72,124,29,188,134,170,171,37,238,2,3,1,0,1,2,9,1,6,11,8,18,27,4,33,6,44,36,5,6,44,112,232,25,56,10,72,126,32,146,40,24,175,36,257,1
"OTU_3253",275,35,83,10,83,5,9,21,8,44,0,0,0,0,1,0,0,0,0,1,9,1,1,0,40,2,2,3,0,1,1,56,28,4,53,0,6,153,1,63,3,5,171,37,115,5
"OTU_13",925,466,100,407,1470,164,103,67,49,278,105,31,6,10,1,89,61,15,46,110,54,68,35,45,6,167,729,108,236,13,332,116,265,273,18,190,957,207,677,372,646,138,728,831,2022,1
"OTU_4563",86,409,44,107,35,122,41,18,17,33,54,41,11,21,9,159,102,73,167,130,149,296,69,227,26,288,346,78,401,16,373,127,200,385,15,357,196,74,451,45,251,82,89,275,116,81
"OTU_9",259,699,80,268,109,161,63,118,29,297,0,1,0,1,14,3,8,1,5,30,54,85,78,75,171,200,333,167,151,65,383,553,540,770,47,614,258,283,990,104,596,202,456,1391,183,0
"OTU_149",65,142,43,33,24,51,44,40,22,104,0,0,0,0,0,0,1,0,2,1,3,2,2,1,6,13,13,9,12,2,16,50,74,48,3,52,15,30,65,14,77,37,76,125,19,0
"OTU_311",27,47,1,31,5,5,7,0,1,2,2,1,0,0,0,36,3,14,59,8,17,43,8,44,0,78,31,6,67,3,60,9,18,86,0,38,22,1,100,0,43,9,15,77,2,0
"OTU_190",36,57,17,35,7,25,6,12,3,8,0,0,0,0,0,0,1,0,3,1,7,7,1,7,0,16,9,0,23,2,24,1,9,17,0,104,18,22,154,3,71,23,24,110,17,2
"OTU_133",127,149,81,37,83,99,69,59,24,156,0,0,0,0,1,1,0,0,1,1,6,22,11,10,8,12,43,19,17,4,37,68,117,33,14,57,103,62,84,15,66,62,125,129,80,16
"OTU_52",154,66,209,29,238,54,25,37,14,60,0,1,1,1,0,3,5,1,1,3,4,3,9,1,154,6,14,48,10,1,12,48,72,13,122,15,21,279,30,349,28,34,301,84,937,32
"OTU_687",5,8,2,5,3,5,1,1,0,1,2,4,1,0,0,2,1,1,6,2,3,23,0,17,3,7,5,5,8,1,8,6,8,12,1,18,6,2,13,2,10,2,4,10,4,24
