"","10A-ITS","10B-ITS","10C-ITS","10D-ITS","10E-ITS","16A-ITS","16B-ITS","16C-ITS","16D-ITS","16E-ITS","1A-ITS","1B-ITS","1C-ITS","1D-ITS","1E-ITS","2A-ITS","2B-ITS","2C-ITS","2D-ITS","2E-ITS","3A-ITS","3B-ITS","3C-ITS","3D-ITS","3E-ITS","4A-ITS","4B-ITS","4C-ITS","4D-ITS","4E-ITS","5A-ITS","5B-ITS","5C-ITS","5D-ITS","5E-ITS","6A-ITS","6B-ITS","6C-ITS","6D-ITS","6E-ITS","8A-ITS","8B-ITS","8C-ITS","8D-ITS","8E-ITS","D0-ITS"
"OTU_1",4420,1866,3309,607,2133,1054,1580,1925,450,1691,9984,11087,17350,24816,7428,5760,5301,1805,3941,5010,4296,2566,17883,1413,7639,9754,26905,3728,3460,6651,20889,7362,6713,4451,5882,1384,2046,1441,1810,2723,7934,4657,1642,3593,3720,93
"OTU_595",120,106,88,253,132,131,165,36,14,53,17,4,1,15,0,245,170,130,179,157,412,274,641,521,131,785,746,537,311,5,340,395,787,403,22,417,802,313,154,45,389,298,266,533,363,0
"OTU_4",2339,2026,1911,1902,320,4106,2315,3459,998,1355,21,35,4,1,2,37,201,25,116,27,234,142,64,297,33,1344,36,176,316,0,212,1690,31,288,30,15753,954,10,1381,14,4749,1434,347,836,30,0
"OTU_262",34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_24",98,7,65,10,173,8,15,0,3,28,59,21,27,29,6,27,24,38,151,54,11,64,175,581,58,54,241,56,7,32,81,112,1,58,62,52,192,4,42,1868,35,5,13,0,36,0
"OTU_310",14,0,0,0,0,0,0,0,0,0,3,49,38,45,40,3,15,0,4,26,3,7,46,19,27,0,72,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0
"OTU_1121",60,3,6,0,172,31,0,41,0,43,8,8,23,424,9,6,5,0,38,4,33,3,417,154,77,56,28,2,9,8,26,31,8,15,79,15,42,0,17,11,8,2,1,4,4,0
"OTU_91",12,0,20,0,12,0,4,0,0,0,11,58,11,8,0,0,0,3,2,0,6,21,0,7,2,1,5,2,4,0,10,2,0,3,0,11,10,1,4,4,0,0,0,0,0,1
"OTU_20",85,63,42,143,118,103,139,18,7,99,9,2,0,0,0,167,106,62,142,64,262,242,359,387,79,637,510,330,229,4,282,368,522,340,10,322,518,202,111,37,293,251,92,358,254,0
"OTU_418",27,15,33,11,25,20,31,0,3,20,3,0,0,1,0,43,18,28,37,14,53,59,117,71,22,134,120,71,43,0,32,42,135,82,6,50,163,40,21,2,43,35,53,67,88,0
