"","Kingdom","Phylum","Class","Order","Rank5","Rank6","Rank7","Rank1","Rank2","Rank3","Rank4","Family","Genus","Species"
"OTU_1","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_595",NA,NA,NA,NA,NA,NA,NA,"Unassigned",NA,NA,NA,NA,NA,NA
"OTU_4",NA,NA,NA,NA,NA,NA,NA,"Unassigned",NA,NA,NA,NA,NA,NA
"OTU_262","Fungi","Rozellomycota","unidentified","unidentified",NA,NA,NA,NA,NA,NA,NA,"unidentified","unidentified","Rozellomycota_sp"
"OTU_24",NA,NA,NA,NA,NA,NA,NA,"Unassigned",NA,NA,NA,NA,NA,NA
"OTU_310",NA,NA,NA,NA,NA,NA,NA,"Unassigned",NA,NA,NA,NA,NA,NA
"OTU_1121","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_91",NA,NA,NA,NA,NA,NA,NA,"Unassigned",NA,NA,NA,NA,NA,NA
"OTU_20",NA,NA,NA,NA,NA,NA,NA,"Unassigned",NA,NA,NA,NA,NA,NA
"OTU_418",NA,NA,NA,NA,NA,NA,NA,"Unassigned",NA,NA,NA,NA,NA,NA
"OTU_11",NA,NA,NA,NA,NA,NA,NA,"Unassigned",NA,NA,NA,NA,NA,NA
"OTU_8","Fungi","unidentified","unidentified","unidentified",NA,NA,NA,NA,NA,NA,NA,"unidentified","unidentified","Fungi_sp"
"OTU_818",NA,NA,NA,NA,NA,NA,NA,"Unassigned",NA,NA,NA,NA,NA,NA
"OTU_222",NA,NA,NA,NA,NA,NA,NA,"Unassigned",NA,NA,NA,NA,NA,NA
"OTU_694",NA,NA,NA,NA,NA,NA,NA,"Unassigned",NA,NA,NA,NA,NA,NA
"OTU_22",NA,NA,NA,NA,NA,NA,NA,"Unassigned",NA,NA,NA,NA,NA,NA
"OTU_70",NA,NA,NA,NA,NA,NA,NA,"Unassigned",NA,NA,NA,NA,NA,NA
"OTU_215",NA,NA,NA,NA,NA,NA,NA,"Unassigned",NA,NA,NA,NA,NA,NA
"OTU_1019",NA,NA,NA,NA,NA,NA,NA,"Unassigned",NA,NA,NA,NA,NA,NA
"OTU_19",NA,NA,NA,NA,NA,NA,NA,"Unassigned",NA,NA,NA,NA,NA,NA
"OTU_111",NA,NA,NA,NA,NA,NA,NA,"Unassigned",NA,NA,NA,NA,NA,NA
"OTU_14",NA,NA,NA,NA,NA,NA,NA,"Unassigned",NA,NA,NA,NA,NA,NA
"OTU_1022",NA,NA,NA,NA,NA,NA,NA,"Unassigned",NA,NA,NA,NA,NA,NA
"OTU_715",NA,NA,NA,NA,NA,NA,NA,"Unassigned",NA,NA,NA,NA,NA,NA
"OTU_1154","Fungi","Ascomycota","Sordariomycetes","Xylariales",NA,NA,NA,NA,NA,NA,NA,"Xylariales_fam_Incertae_sedis","Microdochium","Microdochium_sp"
"OTU_1034",NA,NA,NA,NA,NA,NA,NA,"Unassigned",NA,NA,NA,NA,NA,NA
"OTU_206",NA,NA,NA,NA,NA,NA,NA,"Unassigned",NA,NA,NA,NA,NA,NA
"OTU_2","Fungi","Ascomycota","Dothideomycetes","Pleosporales",NA,NA,NA,NA,NA,NA,NA,"Pleosporaceae",NA,NA
"OTU_21",NA,NA,NA,NA,NA,NA,NA,"Unassigned",NA,NA,NA,NA,NA,NA
"OTU_506",NA,NA,NA,NA,NA,NA,NA,"Unassigned",NA,NA,NA,NA,NA,NA
"OTU_3","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales",NA,NA,NA,NA,NA,NA,NA,"Saccharomycetales_fam_Incertae_sedis","Candida","Candida_gosingica"
"OTU_241",NA,NA,NA,NA,NA,NA,NA,"Unassigned",NA,NA,NA,NA,NA,NA
"OTU_335",NA,NA,NA,NA,NA,NA,NA,"Unassigned",NA,NA,NA,NA,NA,NA
"OTU_1142",NA,NA,NA,NA,NA,NA,NA,"Unassigned",NA,NA,NA,NA,NA,NA
"OTU_1056",NA,NA,NA,NA,NA,NA,NA,"Unassigned",NA,NA,NA,NA,NA,NA
"OTU_66",NA,NA,NA,NA,NA,NA,NA,"Unassigned",NA,NA,NA,NA,NA,NA
"OTU_41","Fungi","Ascomycota","Dothideomycetes","Pleosporales",NA,NA,NA,NA,NA,NA,NA,"Pleosporaceae","Alternaria",NA
"OTU_476",NA,NA,NA,NA,NA,NA,NA,"Unassigned",NA,NA,NA,NA,NA,NA
"OTU_769",NA,NA,NA,NA,NA,NA,NA,"Unassigned",NA,NA,NA,NA,NA,NA
"OTU_502",NA,NA,NA,NA,NA,NA,NA,"Unassigned",NA,NA,NA,NA,NA,NA
"OTU_361",NA,NA,NA,NA,NA,NA,NA,"Unassigned",NA,NA,NA,NA,NA,NA
"OTU_6","Fungi","unidentified","unidentified","unidentified",NA,NA,NA,NA,NA,NA,NA,"unidentified","unidentified","Fungi_sp"
"OTU_999",NA,NA,NA,NA,NA,NA,NA,"Unassigned",NA,NA,NA,NA,NA,NA
"OTU_863",NA,NA,NA,NA,NA,NA,NA,"Unassigned",NA,NA,NA,NA,NA,NA
"OTU_18","Fungi","Basidiomycota","Cystobasidiomycetes","Cystobasidiales",NA,NA,NA,NA,NA,NA,NA,"Cystobasidiaceae",NA,NA
"OTU_121",NA,NA,NA,NA,NA,NA,NA,"Unassigned",NA,NA,NA,NA,NA,NA
"OTU_634",NA,NA,NA,NA,NA,NA,NA,"Unassigned",NA,NA,NA,NA,NA,NA
"OTU_158",NA,NA,NA,NA,NA,NA,NA,"Unassigned",NA,NA,NA,NA,NA,NA
"OTU_182",NA,NA,NA,NA,NA,NA,NA,"Unassigned",NA,NA,NA,NA,NA,NA
"OTU_40","Fungi","Ascomycota","Dothideomycetes","Pleosporales",NA,NA,NA,NA,NA,NA,NA,"unidentified","unidentified","Pleosporales_sp"
"OTU_344",NA,NA,NA,NA,NA,NA,NA,"Unassigned",NA,NA,NA,NA,NA,NA
"OTU_53",NA,NA,NA,NA,NA,NA,NA,"Unassigned",NA,NA,NA,NA,NA,NA
"OTU_613",NA,NA,NA,NA,NA,NA,NA,"Unassigned",NA,NA,NA,NA,NA,NA
"OTU_33",NA,NA,NA,NA,NA,NA,NA,"Unassigned",NA,NA,NA,NA,NA,NA
"OTU_38",NA,NA,NA,NA,NA,NA,NA,"Unassigned",NA,NA,NA,NA,NA,NA
"OTU_146",NA,NA,NA,NA,NA,NA,NA,"Unassigned",NA,NA,NA,NA,NA,NA
"OTU_809",NA,NA,NA,NA,NA,NA,NA,"Unassigned",NA,NA,NA,NA,NA,NA
"OTU_830",NA,NA,NA,NA,NA,NA,NA,"Unassigned",NA,NA,NA,NA,NA,NA
"OTU_17",NA,NA,NA,NA,NA,NA,NA,"Unassigned",NA,NA,NA,NA,NA,NA
"OTU_227",NA,NA,NA,NA,NA,NA,NA,"Unassigned",NA,NA,NA,NA,NA,NA
"OTU_951",NA,NA,NA,NA,NA,NA,NA,"Unassigned",NA,NA,NA,NA,NA,NA
"OTU_524",NA,NA,NA,NA,NA,NA,NA,"Unassigned",NA,NA,NA,NA,NA,NA
"OTU_12","Fungi","Ascomycota",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_161",NA,NA,NA,NA,NA,NA,NA,"Unassigned",NA,NA,NA,NA,NA,NA
"OTU_30",NA,NA,NA,NA,NA,NA,NA,"Unassigned",NA,NA,NA,NA,NA,NA
"OTU_225",NA,NA,NA,NA,NA,NA,NA,"Unassigned",NA,NA,NA,NA,NA,NA
